City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Ajdabiya,LY,30.7554,20.2263,85.1,33,0,13.35,clear sky
110,Adrar,MR,20.5022,-10.0711,93.51,32,84,15.03,broken clouds
111,Zarubino,RU,42.63,131.0922,63.93,98,100,9.26,overcast clouds
112,Bengkulu,ID,-3.8004,102.2655,75.13,92,98,5.53,overcast clouds
113,Tefe,BR,-3.3542,-64.7114,87.91,70,75,5.75,broken clouds
114,Katsuura,JP,35.1333,140.3,77.36,86,100,13.02,overcast clouds
115,Souillac,MU,-20.5167,57.5167,70.18,78,40,14.97,scattered clouds
116,Disna,BY,55.568,28.1971,64.76,93,19,5.23,few clouds
117,Jabinyanah,TN,35.035,10.9081,85.8,56,0,9.53,clear sky
118,Gat,IL,31.61,34.7642,80.82,100,0,2.13,clear sky
119,Nandigama,IN,16.7833,80.3,78.1,83,100,4.5,overcast clouds
120,Kodiak,US,57.79,-152.4072,51.31,87,100,8.05,light rain
121,Joshimath,IN,30.5667,79.5667,71.6,95,100,0.85,overcast clouds
122,Kalanchak,UA,46.2562,33.2907,71.08,41,0,6.82,clear sky
123,Tortoli,IT,39.9256,9.6572,84.02,94,0,4.61,clear sky
124,Rapid Valley,US,44.0625,-103.1463,87.04,33,0,16.11,clear sky
125,Baherden,TM,38.4362,57.4316,90.05,37,75,6.53,broken clouds
126,Bagdarin,RU,54.4333,113.6,58.69,98,100,2.71,overcast clouds
127,Iquique,CL,-20.2208,-70.1431,62.64,74,8,7.34,clear sky
128,Akyab,MM,20.15,92.9,79.77,83,100,7.96,overcast clouds
129,Gamba,GA,-2.65,10.0,69.06,89,95,5.86,overcast clouds
130,Marawi,PH,7.9986,124.2928,69.1,92,100,3.24,moderate rain
131,Huancabamba,PE,-5.2386,-79.4506,68.43,68,66,3.83,light rain
132,Lebu,CL,-37.6167,-73.65,53.6,90,100,5.75,overcast clouds
133,Puerto Escondido,MX,15.85,-97.0667,85.03,74,40,10.36,scattered clouds
134,Te Anau,NZ,-45.4167,167.7167,36.68,95,72,1.21,broken clouds
135,Berlevag,NO,70.8578,29.0864,53.4,93,100,23.02,light intensity drizzle
136,Manbij,SY,36.5281,37.9549,83.93,18,0,20.0,clear sky
137,Lagoa,PT,39.05,-27.9833,73.45,86,13,10.04,few clouds
138,Ilulissat,GL,69.2167,-51.1,39.04,99,100,4.32,light rain
139,Dzilam Gonzalez,MX,21.2833,-88.9333,88.21,59,100,11.97,overcast clouds
140,Kupang,ID,-10.1667,123.5833,69.01,73,78,7.94,broken clouds
141,Araguacu,BR,-12.9306,-49.8264,92.39,21,52,5.82,broken clouds
142,Xining,CN,36.6167,101.7667,54.34,59,0,3.09,clear sky
143,Shimoda,JP,34.6667,138.95,74.1,88,100,5.77,overcast clouds
144,Road Town,VG,18.4167,-64.6167,87.89,70,40,11.5,scattered clouds
145,Anchorage,US,61.2181,-149.9003,60.85,67,100,13.8,overcast clouds
146,Parana,AR,-31.732,-60.5238,82.54,61,0,7.0,clear sky
147,Mangrol,IN,21.1167,70.1167,80.98,83,100,20.47,overcast clouds
148,Arman,RU,59.7,150.1667,59.02,86,100,7.05,overcast clouds
149,Banda Aceh,ID,5.5577,95.3222,77.59,87,100,3.51,overcast clouds
150,Lavrentiya,RU,65.5833,-171.0,44.73,82,99,12.88,overcast clouds
151,Ciudad Bolivar,VE,8.1222,-63.5497,89.15,50,62,9.37,broken clouds
152,Canico,PT,32.6333,-16.85,81.72,72,20,19.57,few clouds
153,Bluff,NZ,-46.6,168.3333,38.95,82,78,5.84,broken clouds
154,Broome,US,42.2506,-75.833,94.6,39,0,11.01,clear sky
155,Honiara,SB,-9.4333,159.95,76.21,87,38,3.69,scattered clouds
156,Tura,IN,25.5198,90.2201,74.07,99,100,4.83,moderate rain
157,Bathsheba,BB,13.2167,-59.5167,85.05,78,40,14.97,scattered clouds
158,Khatanga,RU,71.9667,102.5,48.04,87,3,14.05,clear sky
159,Torbay,CA,47.6666,-52.7314,83.17,71,75,12.66,broken clouds
160,Zabol,AF,32.25,67.25,76.75,55,92,9.08,overcast clouds
161,Avarua,CK,-21.2078,-159.775,73.13,66,98,19.44,overcast clouds
162,Alice Springs,AU,-23.7,133.8833,44.15,42,0,0.0,clear sky
163,Alihe,CN,50.5667,123.7167,60.71,92,29,1.5,scattered clouds
164,Namibe,AO,-15.1961,12.1522,63.91,89,54,1.97,broken clouds
165,Alofi,NU,-19.0595,-169.9187,74.3,72,98,21.3,overcast clouds
166,Camacha,PT,33.0833,-16.3333,69.22,78,20,12.66,few clouds
167,Victor Harbor,AU,-35.5667,138.6167,54.68,72,0,7.0,clear sky
168,Elverum,NO,60.8819,11.5623,59.68,77,100,3.47,overcast clouds
169,Bredasdorp,ZA,-34.5322,20.0403,47.71,77,17,4.54,few clouds
170,Changli,CN,39.7042,119.1506,69.75,91,0,1.3,clear sky
171,Belaya Gora,RU,68.5333,146.4167,55.17,52,11,12.21,few clouds
172,Rocha,UY,-34.4833,-54.3333,65.44,86,94,8.5,overcast clouds
173,Stornoway,GB,58.2093,-6.3865,58.96,94,100,8.05,overcast clouds
174,Sorong,ID,-0.8833,131.25,76.46,93,100,12.37,overcast clouds
175,Hokitika,NZ,-42.7167,170.9667,46.29,83,100,4.76,light rain
176,Port Elizabeth,ZA,-33.918,25.5701,53.89,84,0,12.66,clear sky
177,Husavik,IS,66.0449,-17.3389,49.1,84,100,5.08,overcast clouds
178,Rosarito,MX,32.3333,-117.0333,70.97,69,50,8.21,scattered clouds
179,Fortuna,US,40.5982,-124.1573,61.99,74,33,8.95,scattered clouds
180,Portland,US,45.5234,-122.6762,76.98,61,100,4.61,overcast clouds
181,Turukhansk,RU,65.8167,87.9833,60.19,86,100,7.05,overcast clouds
182,Luganville,VU,-15.5333,167.1667,76.93,85,0,1.54,clear sky
183,Bethel,US,41.3712,-73.414,95.36,45,0,3.44,clear sky
184,Chimbote,PE,-9.0853,-78.5783,66.11,76,64,10.92,broken clouds
185,Nikolskoye,RU,59.7035,30.7861,67.91,97,13,2.42,few clouds
186,Znamenka,RU,52.4167,41.4311,62.1,90,98,3.69,light rain
187,Merrill,US,45.1805,-89.6835,85.77,59,0,6.91,clear sky
188,Ancud,CL,-41.8697,-73.8203,46.22,90,100,1.72,light rain
189,Soyo,AO,-6.1349,12.3689,70.59,88,79,8.16,broken clouds
190,Codrington,AU,-38.2667,141.9667,46.42,94,6,6.53,clear sky
191,Port Hardy,CA,50.6996,-127.4199,60.98,77,75,10.36,broken clouds
192,Capreol,CA,46.706,-80.9225,84.67,37,40,14.97,scattered clouds
193,Yeppoon,AU,-23.1333,150.7333,53.38,85,0,8.3,clear sky
194,Boshnyakovo,RU,49.6333,142.1667,59.22,96,100,3.6,moderate rain
